,brand,model,OS,RAM,approx_price_EUR,battery_removable,battery_type,battery_mah,CPU_cores,CPU_speed,primary_camera_mp,secondary_camera_mp,internal_memory_gb
75,Acer,Iconia Tab A100,Android,1,100.0,False,Li-Po,1530,2,1.0,5,2,8
76,Acer,Liquid mini E310,Android,512,120.0,True,Li-Ion,1300,1,0.6,5,No,512
77,Acer,beTouch E210,Android,256,150.0,True,Li-Ion,1300,1,0.6,3.15,No,512
78,Acer,beTouch E140,Android,256,110.0,True,Li-Ion,1300,1,0.6,3.15,No,512
80,Acer,Liquid mt,Android,512,70.0,True,Li-Ion,1500,1,0.8,5,No,512
83,Acer,Stream,Android,512,130.0,True,Li-Ion,1400,1,1.0,5,No,2
84,Acer,Liquid E,Android,512,90.0,True,Li-Ion,1350,1,0.768,5,No,512
85,Acer,neoTouch P400,Microsoft,256,100.0,True,Li-Po,1090,1,0.6,3.15,No,512
86,Acer,beTouch E400,Android,256,80.0,True,Li-Po,1090,1,0.6,3.15,No,512
89,Acer,Liquid,Android,256,90.0,True,Li-Ion,1350,1,0.768,5,No,512
101,alcatel,A5 LED,Android,2,200.0,,Li-Ion,2800,8,1.3,8,5,16
103,alcatel,A3 XL,Android,2,120.0,False,Li-Ion,3000,4,1.1,8,5,16
104,alcatel,Shine Lite,Android,2,200.0,False,Li-Ion,2460,4,1.3,13,5,16
106,alcatel,Fierce 4,Android,2,80.0,False,Li-Ion,2500,4,1.1,8,5,16
107,alcatel,X1,Android,2,250.0,False,Li-Po,2150,8,1.4,13,5,16
109,alcatel,Flash Plus 2,Android,2,140.0,False,Li-Ion,3000,8,1.8,13,5,16
112,alcatel,Pop 4+,Android,1.5,110.0,True,Li-Ion,2500,4,1.1,8,5,16
113,alcatel,Pop 4,Android,1,80.0,True,Li-Ion,2500,4,1.1,8,5,8
114,alcatel,Idol 4s Windows,Microsoft,4,440.0,False,Li-Ion,3000,4,2.15,21,8,64
115,alcatel,Idol 4s,Android,3,350.0,False,Li-Ion,3000,8,1.8,16,8,32
116,alcatel,Idol 4,Android,2,250.0,False,Li-Ion,2610,8,1.7,13,8,16
121,alcatel,Pixi 4 (6),Android,1,100.0,True,Li-Ion,2580,4,1.1,8,5,8
122,alcatel,Pixi 4 (4),Android,512,60.0,True,Li-Ion,1500,4,1.3,2,VGA,4
127,alcatel,Fierce XL,Android,2,130.0,False,Li-Ion,2500,4,1.1,8,2,16
130,alcatel,Flash 2,Android,2,230.0,False,Li-Ion,3000,8,1.3,13,5,16
140,alcatel,Flash Plus,Android,2,130.0,True,Li-Ion,3500,8,1.5,13,8,16
141,alcatel,Pop Astro,Android,1,130.0,True,Li-Ion,2000,4,1.5,5,VGA,4
143,alcatel,Idol 3 (5.5),Android,2,250.0,False,Li-Ion,2910,8,1.5,13,8,16
144,alcatel,Idol 3 (4.7),Android,1.5,200.0,False,Li-Ion,2000,4,1.2,13,5,8
148,alcatel,Pixi 3 (8) 3G,Android,1,100.0,False,Li-Ion,3240,2,1.3,2,VGA,4
149,alcatel,Pixi 3 (7) LTE,Android,1,130.0,False,Li-Ion,2820,4,1.1,2,VGA,4
150,alcatel,Pixi 3 (7) 3G,Android,512,100.0,False,Li-Ion,2820,2,1.3,2,VGA,4
