model,RAM,approx_price_EUR,battery_mah,CPU_cores,CPU_speed,primary_camera_mp,secondary_camera_mp,internal_memory_gb,brand,OS,battery_removable,battery_type,cluster
POP 8S,1.0,250.0,4100.0,4,1.2,5.0,3.0,8.0,57,0,0,0,2
Hero 8,2.0,280.0,4060.0,8,2.0,5.0,2.0,32.0,57,0,0,0,2
Hero 2,2.0,460.0,3100.0,8,2.0,13.1,5.0,16.0,57,0,0,0,2
POP 7S,1.0,190.0,3240.0,4,1.2,3.0,0.6,4.0,57,0,0,0,2
POP 7,1.0,160.0,3240.0,2,1.3,2.0,0.6,4.0,57,0,0,0,2
Fierce,1.0,110.0,1800.0,4,1.2,5.0,0.6,4.0,57,0,1,0,0
Evolve,0.512,70.0,1400.0,1,1.0,5.0,0.6,4.0,57,0,1,0,0
Pop C3,0.512,80.0,1300.0,2,1.3,5.0,0.6,4.0,57,0,1,0,0
Idol Alpha,1.0,360.0,2000.0,4,1.2,13.0,1.3,16.0,57,0,0,0,0
Idol S,1.0,160.0,2000.0,2,1.2,8.0,1.3,4.0,57,0,0,0,0
